sweep,pop,working_set,mode,pps,mpps
bare,0,0,0,804543,0.8045
chain,64,8,0,449698,0.4497
chain,64,8,1,447227,0.4472
chain,128,8,0,447755,0.4478
chain,128,8,1,441806,0.4418
chain,256,8,0,449998,0.4500
chain,256,8,1,449604,0.4496
chain,512,8,0,446525,0.4465
chain,512,8,1,446446,0.4464
chain,1024,8,0,447249,0.4472
chain,1024,8,1,444500,0.4445
chain,2048,8,0,444634,0.4446
chain,2048,8,1,437419,0.4374
chain,4094,8,0,425834,0.4258
chain,4094,8,1,420088,0.4201
footprint,4094,1,0,426745,0.4267
footprint,4094,1,1,417739,0.4177
footprint,4094,2,0,425941,0.4259
footprint,4094,2,1,419139,0.4191
footprint,4094,4,0,426752,0.4268
footprint,4094,4,1,421137,0.4211
footprint,4094,8,0,424288,0.4243
footprint,4094,8,1,419979,0.4200
footprint,4094,16,0,424742,0.4247
footprint,4094,16,1,416645,0.4166
footprint,4094,32,0,412125,0.4121
footprint,4094,32,1,406511,0.4065
footprint,4094,64,0,399951,0.4000
footprint,4094,64,1,388770,0.3888
footprint,4094,128,0,395028,0.3950
footprint,4094,128,1,385753,0.3858
footprint,4094,256,0,395889,0.3959
footprint,4094,256,1,385532,0.3855
footprint,4094,512,0,395939,0.3959
footprint,4094,512,1,385724,0.3857
footprint,4094,1024,0,396685,0.3967
footprint,4094,1024,1,389313,0.3893
footprint,4094,2048,0,401812,0.4018
footprint,4094,2048,1,395278,0.3953
footprint,4094,4094,0,414042,0.4140
footprint,4094,4094,1,407091,0.4071
